類目代碼,類目名稱,說明,是否隱藏
6001011008,南投縣集集鎮,,否
6001011009,南投縣水里鄉,,否
6001011010,南投縣魚池鄉,,否
6001011011,南投縣信義鄉,,否
6001011012,南投縣竹山鎮,,否
6001011013,南投縣鹿谷鄉,,否
6001012000,雲林縣,,否
6001012001,雲林縣斗南鎮,,否
6001012002,雲林縣大埤鄉,,否
6001012003,雲林縣虎尾鎮,,否
6001012004,雲林縣土庫鎮,,否
6001012005,雲林縣褒忠鄉,,否
6001012006,雲林縣東勢鄉,,否
6001012007,雲林縣台西鄉,,否
6001012008,雲林縣崙背鄉,,否
6001012009,雲林縣麥寮鄉,,否
6001012010,雲林縣斗六市,,否
6001012011,雲林縣林內鄉,,否
6001012012,雲林縣古坑鄉,,否
6001012013,雲林縣莿桐鄉,,否
6001012014,雲林縣西螺鎮,,否
6001012015,雲林縣二崙鄉,,否
6001012016,雲林縣北港鎮,,否
6001012017,雲林縣水林鄉,,否
6001012018,雲林縣口湖鄉,,否
6001012019,雲林縣四湖鄉,,否
6001012020,雲林縣元長鄉,,否
6001013000,嘉義縣市,,否
6001013001,嘉義市,,否
6001013002,嘉義縣番路鄉,,否
6001013003,嘉義縣梅山鄉,,否
6001013004,嘉義縣竹崎鄉,,否
6001013005,嘉義縣阿里山鄉,,否
6001013006,嘉義縣中埔鄉,,否
6001013007,嘉義縣大埔鄉,,否
6001013008,嘉義縣水上鄉,,否
6001013009,嘉義縣鹿草鄉,,否
6001013010,嘉義縣太保市,,否
6001013011,嘉義縣朴子市,,否
6001013012,嘉義縣東石鄉,,否
6001013013,嘉義縣六腳鄉,,否
6001013014,嘉義縣新港鄉,,否
6001013015,嘉義縣民雄鄉,,否
6001013016,嘉義縣大林鎮,,否
6001013017,嘉義縣溪口鄉,,否
6001013018,嘉義縣義竹鄉,,否
6001013019,嘉義縣布袋鎮,,否
6001014000,台南市,,否
6001014001,台南市中西區,,否
6001014002,台南市東區,,否
6001014003,台南市南區,,否
6001014004,台南市北區,,否
6001014005,台南市安平區,,否
6001014006,台南市安南區,,否
6001015000,台南市(原台南縣),,是
6001015001,台南市永康區,,是
6001015002,台南市歸仁區,,是
6001015003,台南市新化區,,是
6001015004,台南市左鎮區,,是
6001015005,台南市玉井區,,是
6001015006,台南市楠西區,,是
6001015007,台南市南化區,,是
6001015008,台南市仁德區,,是
6001015009,台南市關廟區,,是
6001015010,台南市龍崎區,,是
6001015011,台南市官田區,,是
6001015012,台南市麻豆區,,是
6001015013,台南市佳里區,,是
6001015014,台南市西港區,,是
6001015015,台南市七股區,,是
6001015016,台南市將軍區,,是
6001015017,台南市學甲區,,是
6001015018,台南市北門區,,是
6001015019,台南市新營區,,是
6001015020,台南市後壁區,,是
6001015021,台南市白河區,,是
6001015022,台南市東山區,,是
6001015023,台南市六甲區,,是
6001015024,台南市下營區,,是
6001015025,台南市柳營區,,是
6001015026,台南市鹽水區,,是
6001015027,台南市善化區,,是
6001015028,台南市大內區,,是
6001015029,台南市山上區,,是
6001015030,台南市新市區,,是
6001015031,台南市安定區,,是
6001016000,高雄市,,否
6001016001,高雄市新興區,,否
6001016002,高雄市前金區,,否
6001016003,高雄市苓雅區,,否
6001016004,高雄市鹽埕區,,否
6001016005,高雄市鼓山區,,否
6001016006,高雄市旗津區,,否
6001016007,高雄市前鎮區,,否
6001016008,高雄市三民區,,否
6001016009,高雄市楠梓區,,否
6001016010,高雄市小港區,,否
6001016011,高雄市左營區,,否
6001017000,高雄市(原高雄縣),,是
6001017001,高雄市仁武區,,是
6001017002,高雄市大社區,,是
6001017003,高雄市岡山區,,是
6001017004,高雄市路竹區,,是
6001017005,高雄市阿蓮區,,是
6001017006,高雄市田寮區,,是
6001017007,高雄市燕巢區,,是
6001017008,高雄市橋頭區,,是
6001017009,高雄市梓官區,,是
6001017010,高雄市彌陀區,,是
6001017011,高雄市永安區,,是
6001017012,高雄市湖內區,,是
6001017013,高雄市鳳山區,,是
6001017014,高雄市大寮區,,是
6001017015,高雄市林園區,,是
6001017016,高雄市鳥松區,,是
6001017017,高雄市大樹區,,是
6001017018,高雄市旗山區,,是
6001017019,高雄市美濃區,,是
6001017020,高雄市六龜區,,是
6001017021,高雄市內門區,,是
6001017022,高雄市杉林區,,是
6001017023,高雄市甲仙區,,是
6001017024,高雄市桃源區,,是
6001017025,高雄市那瑪夏區,,是
6001017026,高雄市茂林區,,是
6001017027,高雄市茄萣區,,是
6001018000,屏東縣,,否
6001018001,屏東縣屏東市,,否
6001018002,屏東縣三地門鄉,,否
6001018003,屏東縣霧台鄉,,否
6001018004,屏東縣瑪家鄉,,否
6001018005,屏東縣九如鄉,,否
6001018006,屏東縣里港鄉,,否
6001018007,屏東縣高樹鄉,,否
6001018008,屏東縣鹽埔鄉,,否
6001018009,屏東縣長治鄉,,否
6001018010,屏東縣麟洛鄉,,否
6001018011,屏東縣竹田鄉,,否
6001018012,屏東縣內埔鄉,,否
6001018013,屏東縣萬丹鄉,,否
6001018014,屏東縣潮州鎮,,否
6001018015,屏東縣泰武鄉,,否
6001018016,屏東縣來義鄉,,否
6001018017,屏東縣萬巒鄉,,否
6001018018,屏東縣崁頂鄉,,否
6001018019,屏東縣新埤鄉,,否
6001018020,屏東縣南州鄉,,否
